,id,nome_escola,tipo_escola,endereço,número,bairro,subprefeitura,lat,lon,quantidade
0,178,PUBLICA HENFIL,CIE,RUA CARLOS SEIDL,S/N,CAJU,CENTRO,-22.88089,-43.22533,20
1,634,ALICE DO AMARAL PEIXOTO,EM,RUA EBANO,187,BENFICA,CENTRO,-22.88957,-43.2362,121
2,483,CELESTINO SILVA,EM,RUA DO LAVRADIO ,56,CENTRO,CENTRO,-22.90929,-43.18358,220
3,476,FLORIANO PEIXOTO,EM,PRACA ARGENTINA,20,SAO CRISTOVAO,CENTRO,-22.89763,-43.22746,190
4,132,PEREIRA PASSOS,EM,PRACA CONDESSA PAULO DE FRONTIN,45,RIO COMPRIDO,CENTRO,-22.92441,-43.20858,67
5,017,PRESIDENTE JOSE LINHARES,EM,RUA BARAO DA TORRE ,90,IPANEMA,ZONA SUL,-22.98333,-43.19904,48
6,017,PRESIDENTE JOSE LINHARES,EM,RUA BARAO DA TORRE ,90,IPANEMA,ZONA SUL,-22.98333,-43.19904,48
7,055,SANTA CATARINA,EM,RUA EDUARDO SANTOS,38,SANTA TERESA,CENTRO,-22.91554,-43.19159,92
8,490,TIA CIATA,EM,AVENIDA PRESIDENTE VARGAS,S/N,CENTRO,CENTRO,-22.90712,-43.19507,578
9,600,URUGUAI,EM,RUA ANA NERI,192,BENFICA,CENTRO,-22.89849,-43.23776,591
10,089,MARIO CLAUDIO,EM,RUA HADDOCK LOBO ,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473
11,089,MARIO CLAUDIO,EM,RUA HADDOCK LOBO ,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473
12,089,MARIO CLAUDIO,EM,RUA HADDOCK LOBO ,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473
13,089,MARIO CLAUDIO,EM,RUA HADDOCK LOBO ,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473
14,387,PRESIDENTE AGOSTINHO NETO,CIEP,RUA VISCONDE DE SILVA,S/N,HUMAITA,ZONA SUL,-22.95917,-43.19972,456
15,331,TANCREDO NEVES,CIEP,RUA DO CATETE,77,CATETE,ZONA SUL,-22.92278,-43.17668,223
16,450,ALBERTO BARTH,EM,AVENIDA OSWALDO CRUZ,124,FLAMENGO,ZONA SUL,-22.94071,-43.17647,420
17,558,CICERO PENA,EM,AVENIDA ATLANTICA ,1976,COPACABANA,ZONA SUL,-22.96865,-43.18114,573
18,413,COCIO BARCELOS,EM,RUA BARAO DE IPANEMA ,34,COPACABANA,ZONA SUL,-22.97483,-43.18906,0
19,413,COCIO BARCELOS,EM,RUA BARAO DE IPANEMA ,34,COPACABANA,ZONA SUL,-22.74828,-43.18906,0
20,540,HENRIQUE DODSWORTH,EM,AVENIDA EPITACIO PESSOA,474,IPANEMA,ZONA SUL,-22.98196,-43.21358,516
21,309,MEXICO,EM,RUA DA MATRIZ,67,BOTAFOGO,ZONA SUL,-22.95271,-43.19176,319
22,268,MINAS GERAIS,EM,AVENIDA PASTEUR,433,URCA,ZONA SUL,-22.95382,-43.16888,308
23,523,PRESIDENTE DA COSTA E SILVA,EM,RUA ASSUNCAO ,257,BOTAFOGO,ZONA SUL,-22.94556,-43.18659,111
24,035,SENADOR CORREA,EM,RUA SEN.,CORREA,LARANJEIRAS,ZONA SUL,-22.93399,-43.18101,525
25,011,SAMUEL WEINER,CIEP,AV HEITOR BELTRAO ,S/N,TIJUCA,GRANDE TIJUCA,-22.92127,-43.228,445
26,226,AFRANIO PEIXOTO,EM,RUA FERREIRA PONTES ,328,ANDARAI,GRANDE TIJUCA,-22.92686,-43.25491,164
27,638,AZEVEDO SODRE,EM,RUA BARAO DE UBA,331,PRACA DA BANDEIRA,GRANDE TIJUCA,-22.91545,-43.21109,293
28,126,DUQUE DE CAXIAS,EM,RUA MAL. JOFRE ,74,GRAJAU,GRANDE TIJUCA,-22.91854,-43.26509,399
29,180,EQUADOR,EM,BOULEVARD 28 DE SETEMBRO ,353,VILA ISABEL,GRANDE TIJUCA,-22.91615,-43.24705,185
30,163,LAUDIMIA TROTTA,EM,RUA ANTONIO BASILIO ,370,TIJUCA,GRANDE TIJUCA,-22.92684,-43.23789,576
31,361,PRUDENTE DE MORAES,EM,RUA ENES DE SOUSA,36,TIJUCA,GRANDE TIJUCA,-22.92906,-43.23287,63
32,280,GENERAL HUMBERTO DE SOUZA MELLO,EM,RUA OITO DE DEZEMBRO ,275,MARACANA/ VILA ISABEL,,-22.90982,-43.23939,491
33,060,BARAO HOMEM DE MELO,EM,RUA ALM. JOAO CANDIDO BRASIL ,352,MARACANA/ TIJUCA,,-22.91683,-43.23692,0
34,587,ALMIRANTE TAMANDARE,EM,AVENIDA PRESIDENTE JOAO GOULART,296,VIDIGAL,ZONA SUL,-22.9937,-43.23558,336
35,653,LUCIA MIGUEL PEREIRA,EM,RUA MARTAGAO GESTEIRA,S/N,SAO CONRADO,ZONA SUL,-22.99742,-43.27218,159
36,660,NOSSA SENHORA DA POMPEIA,EM,RUA CIRNE MAIA ,109,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342
37,660,NOSSA SENHORA DA POMPEIA,EM,RUA CIRNE MAIA ,109,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342
38,382,SANTOS ANJOS,EM,RUA HUMBERTO DE CAMPOS,S/N,LEBLON,ZONA SUL,-22.98156,-43.21703,262
39,217,ALAGOAS,EM,AVENIDA DOM HELDER CAMARA,6742,PILARES,ZONA NORTE,-22.88134,-43.29409,440
40,378,BRIGADEIRO FARIA LIMA,EM,RUA VIOLETA,S/N,AGUA SANTA,ZONA NORTE,-22.90627,-43.30792,365
41,429,FELIX PACHECO,EM,RUA ASSIS CARNEIRO ,649,PIEDADE,ZONA NORTE,-22.89509,-43.31383,0
42,025,GEORGE SUMMER,EM,RUA ANA,NERI,RIACHUELO,ZONA NORTE,-22.9007,-43.25541,183
43,373,PROFESSOR AUGUSTO PAULINO,EM,RUA CONEGO TOBIAS,116,MEIER,ZONA NORTE,-22.90416,-43.28033,44
44,624,RIO GRANDE DO SUL,EM,RUA ADOLFO BERGAMINI ,201,ENGENHO DE DENTRO,ZONA NORTE,-22.90034,-43.29594,109
45,157,SARMIENTO,EM,RUA VINTE QUATRO DE MAIO,931,ENGENHO NOVO,ZONA NORTE,-22.90303,-43.26788,350
46,020,TAGORE,EM,PCA. FREDERICO DUVAL,S/N,PIEDADE,ZONA NORTE,-22.88766,-43.30247,255
47,117,CHANCELER WILLY BRANDT,CIEP,RUA ALVARO SEIXAS,S/N,JACARE,ZONA NORTE,-22.89418,-43.26385,457
48,502,PATRICE LUMUMBA,CIEP,PRACA DA CONFEDERACAO SUICA ,S/N,DEL CASTILHO,ZONA NORTE,-22.87836,-43.27489,493
49,351,PUBLICA VINICIUS DE MORAES,CIE,AVENIDA DOM HELDER CAMARA,1715,JACARE,ZONA NORTE,-22.88532,-43.2541,489
50,135,DOMINGOS BEBIANO,EM,ESTRUA ADHEMAR BEBIANO,1870,INHAUMA,ZONA NORTE,-22.87389,-43.27771,456
51,388,CARDEAL CAMARA,EM,RUA ANAMA ,98,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504
52,388,CARDEAL CAMARA,EM,RUA ANAMA ,98,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504
53,440,JOAQUIM RIBEIRO,EM,PCA. SOLDADO COSME DOS SANTOS,28,INHAUMA,ZONA NORTE,-22.87757,-43.28563,530
54,259,PERNAMBUCO,EM,RUA CONDE DE AZAMBUJA,579,MARIA DA GRACA,ZONA NORTE,-22.88418,-43.26262,158
55,422,ALBINO SOUZA CRUZ,EM,AVENIDA DOS DEMOCRATICOS,268,MANGUINHOS,ZONA NORTE,-22.88099,-43.25325,123
56,041,ANDRADE NEVES,EM,RUA VIANA DO CASTELO.,S/N,JARDIM AMERICA,ZONA NORTE,-22.80945,-43.32629,468
57,537,ARY QUINTELLA,EM,RUA ENG. MOREIRA LIMA,54,PENHA CIRCULAR,ZONA NORTE,-22.83941,-43.30007,234
58,230,BERLIM,EM,PCA. RAMOS FIGUEIRA,20,OLARIA,ZONA NORTE,-22.84779,-43.26144,24
59,379,NELSON MANDELA,CIEP,PRACA DANIEL LAMES ,S/N,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109
60,379,NELSON MANDELA,CIEP,PRACA DANIEL LAMES ,S/N,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109
61,379,NELSON MANDELA,CIEP,PRACA DANIEL LAMES ,S/N,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109
62,146,BERNARDO VASCONCELOS,EM,PCA. SANTA ROSALIA ,100,PENHA,ZONA NORTE,-22.84563,-43.28401,151
63,566,BRANT HORTA,EM,RUA BENTO CARDOSO ,130,PENHA CIRCULAR,ZONA NORTE,-22.83567,-43.28816,564
64,498,CHILE,EM,PCA. BELMONTE,15,OLARIA,ZONA NORTE,-22.84858,-43.26859,61
65,663,CIENTISTA MARIO KROEFF,EM,RUA DO COUTO ,91,PENHA,ZONA NORTE,-22.83896,-43.27517,426
66,121,DILERMANDO CRUZ,EM,AVENIDA TEIXEIRA DE CASTRO ,407,RAMOS,ZONA NORTE,-22.85387,-43.25245,167
67,161,JOAO DE DEUS,EM,PCA. ALMEIDA GARRET,S/N,PENHA CIRCULAR,ZONA NORTE,-22.82995,-43.28211,509
68,263,PADRE MANUEL DE NOBREGA,EM,PRACA ELBA ,1215,VIGARIO GERAL,ZONA NORTE,-22.85714,-43.26416,292
69,118,PUBLICA ELIS REGINA,CIE,RUA PRINCIPAL,S/N,BONSUCESSO,ZONA NORTE,-22.85783,-43.24045,210
70,140,PEDRO LESSA,EM,RUA ADAIL ,49,BONSUCESSO,ZONA NORTE,-22.86047,-43.25428,153
71,260,PROFESSOR JOSUE DE CASTRO,EM,AVENIDA BRASIL 4040 RUA DA,VITORIA,BONSUCESSO,ZONA NORTE,-22.87374,-43.24071,0
72,069,CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
73,069,CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
74,069,CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
75,069,CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
76,069,CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
77,090,THOMAS JEFFERSON,EM,AVENIDA PASTOR MARTIN LUTHER KING JR,S/N,ACARI,ZONA NORTE,-22.81631,-43.34015,67
78,090,THOMAS JEFFERSON,EM,AVENIDA PASTOR MARTIN LUTHER KING JR,S/N,ACARI,ZONA NORTE,-22.81631,-43.34015,67
79,274,ABEILARD FEIJO,EM,ESTRADA DA CACUIA,1386,CACUIA,ILHAS,-22.80769,-43.18156,561
80,676,ANISIO TEIXEIRA,EM,RUA SERENATA ,40,JARDIM GUANABARA,ILHAS,-22.81244,-43.20966,180
81,390,ANDREA FONTES PEIXOTO,EM,RUA FAUSTO E CASTRO,S/N,PARQUE COLUMBIA,ZONA NORTE,-22.81631,-43.34015,257
82,608,GRANDJEAN DE MONTIGNY,EM,PRACA DOS UCRANIANOS ,S/N,PAVUNA,ZONA NORTE,-22.81389,-43.37393,260
83,589,MARIO PIRAGIBE,EM,PRACA NOSSA SENHORA DAS DORES ,S/N,ANCHIETA,ZONA NORTE,-22.82558,-43.39208,317
84,256,PARAIBA,EM,ESTRADA MARECHAL ALENCASTRO,4.035,ANCHIETA,ZONA NORTE,-22.82636,-43.40288,345
85,091,PIAUI,EM,AVENIDA BRASIL,23.364,GUADALUPE,ZONA NORTE,-22.84542,-43.37852,0
86,248,ASPIRANTE CARLOS ALFREDO,EM,RUA IBIA,105,TURIACU,ZONA NORTE,-22.86085,-43.34455,513
87,623,CECILIA MEIRELES,EM,RUA SD. SERVINO MENGARDA ,260,VILA KOSMOS,ZONA NORTE,-22.84944,-43.30379,416
88,603,ESPIRITO SANTO,EM,RUA HERCULANO PENA ,S/N,CAVALCANTI,ZONA NORTE,-22.8743,-43.31472,352
